date_delivrance,lead_cat,priorite,commune,prefecture,region,nature,building_type,floors,n_units_stated,surface,resume,adp,n_permis,dossier_id,lat,lon
2026-07-13,industriel,normale,COMMUNE EL MACHREK,PROVINCE SIDI BENNOUR,REGION DE CASABLANCA-SETTAT,Construction,industriel,0,0,180.0,industriel · 180 m2,PROPRIETE DITE «  FERRAILLEUR 237 » CENTRE TOUILAATE LOTISSEMENT  D’ACTIVITE POUR FERRAILLEURS LOT N,GUlmk-0031/2026,787207,32.76083,-8.48005
2026-07-13,industriel,normale,COMMUNE OULED AZZOUZ,PROVINCE NOUACEUR,REGION DE CASABLANCA-SETTAT,Construction,industriel,2,0,499.0,industriel · R+2 · 499 m2,"LOTISSEMENT AL AFAQ LOGISTICS , LOT N°:49",GUoaz-0172/2026,696754,33.49057,-7.72024
2026-07-13,industriel,normale,ARRONDISSEMENT MOULAY RACHID,PRÉFECTURE MOULAY RACHID,REGION DE CASABLANCA-SETTAT,Construction,industriel,0,0,517.0,industriel · 517 m2 · sous-sol,LOTISSEMENT MANAOS 1 LOT N°23,GUcas-0683/2026,645486,33.56348,-7.52359
2026-07-12,industriel,normale,COMMUNE SETTAT,PROVINCE SETTAT,REGION DE CASABLANCA-SETTAT,Construction,industriel,0,0,1067.0,industriel · 1 067 m2,PARC INDUSTRIEL SETTAPARK LOT N°13,GUstt-0491/2026,752949,32.98162,-7.62082
2026-07-12,grands_projets,haute,COMMUNE MANSOURIA,PROVINCE BEN SLIMANE,REGION DE CASABLANCA-SETTAT,Groupement d'habitations,hotel,0,0,31020.0,hotel · 31 020 m2,"Route régional RR322 Bni Rached, commune Mansouria.",GUmsr-0066/2026,573458,33.74479,-7.30703
2026-07-11,grands_projets,haute,ARRONDISSEMENT DE TANGER-MEDINA,PREFECTURE DE TANGER-ASSILAH,REGION DE TANGER-TETOUAN-AL HOCEIMA,Construction,immeuble,7,0,1451.0,immeuble · R+7 · 1 451 m2 · sous-sol,AVENUE OUEJDA,GUctgr-0152/2026,700335,35.77506,-5.79602
2026-07-11,lotissements,haute,COMMUNE DE DAYAT AOUA,PROVINCE D'IFRANE,REGION DE FES-MEKNES,Morcellement,autre,0,0,36064.0,36 064 m2,commune dayt aoua,GUcdaa-0007/2025,636983,33.51023,-5.02504
2026-07-11,grands_projets,haute,ARRONDISSEMENT DE TANGER-MEDINA,PREFECTURE DE TANGER-ASSILAH,REGION DE TANGER-TETOUAN-AL HOCEIMA,Groupement d'habitations,bureau,7,0,11819.0,bureau · R+7 · 11 819 m2,ROUTE DE RABAT,GUctgr-0155/2026,630440,35.76069,-5.82011
2026-07-11,hotellerie,normale,COMMUNE DE MECHOUAR-KASBA,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Construction,hotel,0,0,255.0,hotel · 255 m2,El Kasbah Touarg N°16 ET 16 Bis,GUcmka-0090/2026,655231,31.61628,-8.10501
2026-07-11,grands_projets,haute,ARRONDISSEMENT DE TANGER-MEDINA,PREFECTURE DE TANGER-ASSILAH,REGION DE TANGER-TETOUAN-AL HOCEIMA,Groupement d'habitations,villa,0,0,45808.0,villa · 45 808 m2,Sania Kbira à Douar Khandak Gour,GUctgr-0149/2026,658123,35.75175,-5.91275
